filetype,accuracy,precision,recall
apk,94.85828062778168,97.05384832252608,96.76739283204498
app,99.74937343358395,99.84962406015038,99.84962406015038
doc,98.43971631205673,98.89737065309583,99.23404255319149
elf,98.80952380952381,98.59154929577466,100.0
exe,100.0,100.0,100.0
gif,99.84170058796924,99.86442516268981,99.94572591587517
html,96.66666666666667,98.0,98.0
jpg,99.07692307692308,99.26425505824648,99.63076923076923
mov,88.80952380952381,93.47950866720238,93.06285714285714
mp3,98.83333333333333,98.8118811881188,99.8
mp4,90.20661157024793,94.31440903054448,93.9090909090909
obj,99.01960784313727,98.83720930232558,100.0
pdf,94.34262948207171,96.69487466070574,96.50996015936255
png,91.69973544973546,94.84189723320158,95.21825396825396
ppt,99.6301433194637,99.73669623059867,99.81969486823856
tgz,87.05566733735748,91.9967987194878,92.51509054325956
txt,99.95039682539682,99.94051160023795,100.0
wav,100.0,100.0,100.0
xls,95.6140350877193,96.55172413793103,98.24561403508771
zip,87.13541666666667,92.89790741915029,91.5625
